partyId,type,runningBalance,partyName,billNumber,amount,createdByName,billId,description,createdByUid,date,isSettled,_id
1RdJFiBhHnztACIVFSmI,debit,0,ANILA MEDICAL PVT LTD,DVN-26-72193,827,Owner,xBTrbkuespbKiykpnkQu,Purchase Bill DVN-26-72193 (Updated),0iUOq89rNOhmEw1iuJOjUyBMjCF2,2026-07-17T10:49:12.489Z,false,4lC8hEkow3mTYZ09W8DI
1RdJFiBhHnztACIVFSmI,debit,0,ANILA MEDICAL PVT LTD,DVN-26-73323,1235,Owner,DaI9zvHLi2VI1HoQmd81,Purchase Bill DVN-26-73323,0iUOq89rNOhmEw1iuJOjUyBMjCF2,2026-07-19T07:45:02.731Z,false,6PXllYYDe0BY6OZW2HOL
vUeP0Nu374044xHjJ8OP,debit,0,PRAKARTI ASSOCIATES,150,2081,Owner,hLtWqlZVnQUTuamRhrQK,Purchase Bill 150,0iUOq89rNOhmEw1iuJOjUyBMjCF2,2026-07-21T18:30:00.000Z,false,8wNkgqFSTECqx9fPqyt6
SgyVDroFYj8Z2rX3F8tR,debit,0,ITI INTERNATIONAL,HELIN019306,3291,Owner,hRBAIRVH8K5pGUwLPR08,Purchase Bill HELIN019306 (Updated),0iUOq89rNOhmEw1iuJOjUyBMjCF2,2026-07-18T18:30:00.000Z,false,FtpHsPrNldBvMVCtWBeN
1RdJFiBhHnztACIVFSmI,debit,0,ANILA MEDICAL PVT LTD,DVN-26-72105,1068,Owner,taOwn0jISOU5uBEmmAms,Purchase Bill DVN-26-72105,0iUOq89rNOhmEw1iuJOjUyBMjCF2,2026-07-22T11:40:57.019Z,false,UaR7oXuXqny9GriEITMc
1RdJFiBhHnztACIVFSmI,debit,0,ANILA MEDICAL PVT LTD,DVN-26-75536,1060,Owner,JqsSYYOsP2YTNhCeQ6Cc,Purchase Bill DVN-26-75536 (Updated),0iUOq89rNOhmEw1iuJOjUyBMjCF2,2026-07-22T14:44:06.335Z,false,UmAWRBtvkmqlTRNAgvOP
m.pawar,credit,0,m.pawar,ADG/2607/0005,2360,Owner,Whr1pYXmzBRUKDap0IOa,Sales Bill ADG/2607/0005 — Credit,0iUOq89rNOhmEw1iuJOjUyBMjCF2,2026-07-22T16:18:30.271Z,false,WoEf1ixdSp6WhXBcmuT6
ValGzYxu6Tnz12NtQ8ia,debit,0,PATANJALI,16818AAA2627,1585,Owner,VeybXLCYY5P4zaQJq2Yg,Purchase Bill 16818AAA2627 (Updated),0iUOq89rNOhmEw1iuJOjUyBMjCF2,2026-07-14T18:30:00.000Z,false,jCKCn9sPx6X0tqGUrLhL
